﻿Call Id,Interpreter,Date/Time,Downloaded Time zone,Language 1,Language 2,Service Type,Type,Duration,Interpreter Peer Rating,Interpreter Call Quality Rating,Queue Time (s),Call Center Queue/Hold Time (s),Other Participants,Conference Duration,Pending Duration Updates,Duration Adjusted to 0,Call Status,Call Status (Operator),CustomFieldKey1,CustomFieldKey2,MyInternalId,CustomCallField
6.63427E+13,richard 39573383,24/06/2024 17:38,Europe/London,English,Igbo,Legal,Video,00:02:36,,,3.59,,,,FALSE,FALSE,Connected,,,,,
6.63419E+13,richard 39573383,24/06/2024 17:35,Europe/London,English,Igbo,Legal,Video,00:00:45,,,3.84,,,,FALSE,FALSE,Connected,,,,,
6.63354E+13,richard 39573383,24/06/2024 17:16,Europe/London,English,Igbo,Legal,Video,00:03:48,,,7.36,,,,FALSE,FALSE,Connected,,,,,
6.63319E+13,richard 39573383,24/06/2024 17:07,Europe/London,English,Igbo,Legal,Video,00:06:03,,,3.93,,,,FALSE,FALSE,Connected,,,,,
6.63272E+13,richard 39573383,24/06/2024 16:54,Europe/London,English,Igbo,Legal,Video,00:00:22,,,12.83,,,,FALSE,FALSE,Connected,,,,,
6.6325E+13,richard 39573383,24/06/2024 16:49,Europe/London,English,Igbo,Legal,Video,00:02:15,,,3.52,,,,FALSE,FALSE,Connected,,,,,
6.6323E+13,richard 39573383,24/06/2024 16:43,Europe/London,English,Igbo,Legal,Video,00:00:17,,,3.52,,,,FALSE,FALSE,Connected,,,,,
6.63223E+13,richard 39573383,24/06/2024 16:41,Europe/London,English,Igbo,Legal,Video,00:00:13,,,5.2,,,,FALSE,FALSE,Connected,,,,,
6.6321E+13,richard 39573383,24/06/2024 16:38,Europe/London,English,Igbo,Legal,Video,00:00:22,,,3.22,,,,FALSE,FALSE,Connected,,,,,
6.63206E+13,richard 39573383,24/06/2024 16:37,Europe/London,English,Igbo,Legal,Video,00:00:21,,,4.88,,,,FALSE,FALSE,Connected,,,,,
6.63199E+13,richard 39573383,24/06/2024 16:35,Europe/London,English,Igbo,Legal,Video,00:00:51,,,3.81,,,,FALSE,FALSE,Connected,,,,,
6.63167E+13,richard 39573383,24/06/2024 16:27,Europe/London,English,Igbo,Legal,Video,00:03:06,,,3.61,,,,FALSE,FALSE,Connected,,,,,
6.62602E+13,richard 39573383,24/06/2024 13:37,Europe/London,English,Igbo,Legal,Video,00:00:17,,,3.33,,,,FALSE,FALSE,Connected,,,,,
6.62568E+13,richard 39573383,24/06/2024 13:14,Europe/London,English,Igbo,Legal,Video,00:02:14,,,5.55,,,,FALSE,FALSE,Connected,,,,,
6.61825E+13,Catalin 68007075,22/06/2024 15:46,Europe/London,English,Romanian,Legal,Video,00:00:19,,,32.98,,,,FALSE,FALSE,Connected,,,,,
6.60392E+13,Sajid 39578998,21/06/2024 15:46,Europe/London,English,Urdu,Legal,Video,00:00:10,,,42.09,,,,FALSE,FALSE,Connected,,,,,
6.56934E+13,richard 39573383,19/06/2024 19:44,Europe/London,English,Igbo,Legal,Video,00:07:25,,,5.7,,,,FALSE,FALSE,Connected,,,,,
6.55957E+13,richard 39573383,19/06/2024 13:18,Europe/London,English,Igbo,Legal,Video,00:08:17,,,4.12,,,,FALSE,FALSE,Connected,,,,,
6.55952E+13,richard 39573383,19/06/2024 13:12,Europe/London,English,Igbo,Legal,Video,00:00:20,,,4.02,,,,FALSE,FALSE,Connected,,,,,
6.5595E+13,richard 39573383,19/06/2024 13:09,Europe/London,English,Igbo,Legal,Video,00:01:31,,,4.59,,,,FALSE,FALSE,Connected,,,,,
6.5594E+13,richard 39573383,19/06/2024 12:51,Europe/London,English,Igbo,Legal,Video,00:00:14,,,4.24,,,,FALSE,FALSE,Connected,,,,,
6.55938E+13,richard 39573383,19/06/2024 12:47,Europe/London,English,Igbo,Legal,Video,00:00:30,,,5.95,,,,FALSE,FALSE,Connected,,,,,
6.55936E+13,richard 39573383,19/06/2024 12:43,Europe/London,English,Igbo,Legal,Video,00:02:22,,,5.87,,,,FALSE,FALSE,Connected,,,,,
6.55934E+13,richard 39573383,19/06/2024 12:37,Europe/London,English,Igbo,Legal,Video,00:04:37,,,4.16,,,,FALSE,FALSE,Connected,,,,,
6.55933E+13,richard 39573383,19/06/2024 12:32,Europe/London,English,Igbo,Legal,Video,00:00:15,,,4.09,,,,FALSE,FALSE,Connected,,,,,
6.55933E+13,richard 39573383,19/06/2024 12:30,Europe/London,English,Igbo,Legal,Video,00:00:15,,,3.69,,,,FALSE,FALSE,Connected,,,,,
6.55931E+13,richard 39573383,19/06/2024 12:26,Europe/London,English,Igbo,Legal,Video,00:00:16,,,4.87,,,,FALSE,FALSE,Connected,,,,,
6.55926E+13,richard 39573383,19/06/2024 12:10,Europe/London,English,Igbo,Legal,Video,00:00:22,,,3.7,,,,FALSE,FALSE,Connected,,,,,
6.55922E+13,richard 39573383,19/06/2024 11:51,Europe/London,English,Igbo,Legal,Video,00:04:27,,,3.41,,,,FALSE,FALSE,Connected,,,,,
6.55921E+13,richard 39573383,19/06/2024 11:50,Europe/London,English,Igbo,Legal,Video,00:00:25,,,5.28,,,,FALSE,FALSE,Connected,,,,,
6.55919E+13,richard 39573383,19/06/2024 11:39,Europe/London,English,Igbo,Legal,Video,00:00:08,,,5.03,,,,FALSE,FALSE,Connected,,,,,
6.55918E+13,richard 39573383,19/06/2024 11:37,Europe/London,English,Igbo,Legal,Video,00:00:14,,,3.86,,,,FALSE,FALSE,Connected,,,,,
6.55917E+13,richard 39573383,19/06/2024 11:32,Europe/London,English,Igbo,Legal,Video,00:00:17,,,6.93,,,,FALSE,FALSE,Connected,,,,,
6.55555E+13,Beata 39573586,18/06/2024 22:02,Europe/London,English,Polish,Legal,Video,00:00:04,,,15.42,,,,FALSE,FALSE,Connected,,,,,
6.55208E+13,richard 39573383,18/06/2024 20:10,Europe/London,English,Igbo,Legal,Video,00:00:23,,,3.92,,,,FALSE,FALSE,Connected,,,,,
6.55196E+13,richard 39573383,18/06/2024 20:07,Europe/London,English,Igbo,Legal,Video,00:00:41,,,5.22,,,,FALSE,FALSE,Connected,,,,,
6.55147E+13,richard 39573383,18/06/2024 19:55,Europe/London,English,Igbo,Legal,Video,00:05:09,,,4.06,,,,FALSE,FALSE,Connected,,,,,
6.55139E+13,richard 39573383,18/06/2024 19:53,Europe/London,English,Igbo,Legal,Video,00:00:31,,,3.99,,,,FALSE,FALSE,Connected,,,,,
6.5512E+13,richard 39573383,18/06/2024 19:48,Europe/London,English,Igbo,Legal,Video,00:04:35,,,4.22,,,,FALSE,FALSE,Connected,,,,,
6.55111E+13,richard 39573383,18/06/2024 19:45,Europe/London,English,Igbo,Legal,Video,00:00:19,,,4.6,,,,FALSE,FALSE,Connected,,,,,
6.55028E+13,richard 39573383,18/06/2024 19:26,Europe/London,English,Igbo,Legal,Video,00:09:03,,,4.31,,maze,00:06:57,FALSE,FALSE,Connected,,,,,
6.55017E+13,richard 39573383,18/06/2024 19:23,Europe/London,English,Igbo,Legal,Video,00:00:40,,,5.56,,,,FALSE,FALSE,Connected,,,,,
6.5501E+13,richard 39573383,18/06/2024 19:21,Europe/London,English,Igbo,Legal,Video,00:01:07,,,6.58,,,,FALSE,FALSE,Connected,,,,,
